Symbol,NEWS_SCORE,NEWS_COUNT,NEWS_BIAS,NEWS_IMPACT,NEWS_CATEGORY,NEWS_ALPHA,NEWS_DELTA,EVENT_SIGNAL
AHLUCONT.NS,16.0,10,POSITIVE,HIGH,ORDERS,100.0,0.0,STABLE
GUFICBIO.NS,12.3,8,POSITIVE,HIGH,GENERAL,90.91,0.0,STABLE
SBCL.NS,11.2,10,POSITIVE,HIGH,GENERAL,89.61,0.0,STABLE
SRM.NS,10.8,10,POSITIVE,HIGH,ORDERS,88.74,0.4,STABLE
KPIL.NS,8.9,10,POSITIVE,HIGH,ORDERS,84.63,0.0,STABLE
RIIL.NS,8.65,10,POSITIVE,HIGH,EARNINGS,84.09,0.2,STABLE
GUJGASLTD.NS,8.4,10,POSITIVE,HIGH,EARNINGS,83.55,0.0,STABLE
KKCL.NS,8.4,10,POSITIVE,HIGH,EARNINGS,83.55,0.0,STABLE
GILLETTE.NS,8.1,10,POSITIVE,HIGH,EARNINGS,82.9,0.0,STABLE
BAJEL.NS,7.9,10,POSITIVE,HIGH,GENERAL,82.47,0.0,STABLE
INVENTURE.NS,7.7,10,POSITIVE,HIGH,GENERAL,82.03,0.0,STABLE
HATHWAY.NS,7.6,10,POSITIVE,HIGH,EARNINGS,81.82,0.05,STABLE
KEC.NS,7.4,10,POSITIVE,HIGH,ORDERS,81.39,-1.0,NEGATIVE CHANGE
GNA.NS,7.15,10,POSITIVE,HIGH,GENERAL,80.84,-1.0,NEGATIVE CHANGE
JNKINDIA.NS,7.1,10,POSITIVE,HIGH,GENERAL,80.74,0.0,STABLE
JSWCEMENT.NS,6.9,10,POSITIVE,HIGH,GENERAL,80.3,0.0,STABLE
M&MFIN.NS,6.9,10,POSITIVE,HIGH,EARNINGS,80.3,0.0,STABLE
BHARATFORG.NS,6.9,10,POSITIVE,HIGH,GENERAL,80.3,-0.5,STABLE
TITAN.NS,6.7,10,POSITIVE,HIGH,GENERAL,79.87,-0.8,STABLE
HAPPSTMNDS.NS,6.7,10,POSITIVE,HIGH,GENERAL,79.87,0.8,STABLE
