Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK,POSITION_SCORE,TARGET_WEIGHT,TARGET_WEIGHT_%,YF_SYMBOL,RISK_SCORE,FINAL_WEIGHT,FINAL_WEIGHT_%,Sector,Industry,VOLATILITY,CONVICTION_NORM,RETURN_NORM,VOL_NORM,OPTIMISER_SCORE,OPT_WEIGHT,OPT_WEIGHT_%,LAST_PRICE,ALLOCATED_CAPITAL,QUANTITY,INVESTED_AMOUNT,ACTUAL_WEIGHT,ACTUAL_WEIGHT_%,ACTION
OFSS,92.01,7.0,11.56,HIGH,100,16,98.68,0.0822025073930609,8.22,OFSS.NS,21124.79503529109,0.1212339611865206,12.12,Technology,Software - Infrastructure,0.3524507190513153,1.0,0.6605714285714286,0.5680745306888563,0.7506136652908002,0.0856044894728522,8.56,10141.0,118809.28196279019,11,111551.0,0.11492490640447967,11.49,BUY
STLTECH,93.95,7.0,17.5,HIGH,100,1,116.5,0.0970469407305593,9.7,STLTECH.NS,19649.34974624393,0.1127664671063958,11.28,Technology,Communication Equipment,0.5857127665102494,1.0,1.0,0.9440426333910747,0.8111914733217851,0.0925131464420374,9.25,651.5999755859375,110511.13776426789,169,110120.39587402344,0.11345103306152694,11.35,BUY
RUBICON,91.82,7.0,11.78,HIGH,100,18,99.34,0.0827523012203757,8.28,RUBICON.NS,16720.352650388686,0.0959571243581643,9.6,Healthcare,Drug Manufacturers - General,0.452829994576938,1.0,0.6731428571428572,0.7298642696588687,0.7232842889253691,0.0824876832920484,8.25,1303.0999755859375,94037.98187100101,72,93823.1982421875,0.09666091990705901,9.67,BUY
VENUSREM,93.1,7.0,12.71,HIGH,100,6,102.13,0.0850764296722062,8.51,VENUSREM.NS,16602.239321469053,0.095279278882744,9.53,Healthcare,Drug Manufacturers - Specialty & Generic,0.4989150463147924,1.0,0.7262857142857143,0.8041434318867705,0.7296855993369317,0.0832177271682504,8.32,1555.800048828125,93373.69330508912,60,93348.0029296875,0.09617135211463303,9.62,BUY
GAYAPROJ,92.91,7.0,11.04,HIGH,100,8,97.12,0.0809029947103169,8.09,GAYAPROJ.NS,16329.216475051844,0.0937124167612285,9.37,Industrials,Engineering & Construction,0.4397078580573599,1.0,0.6308571428571428,0.7087142162129312,0.7106000139002708,0.0810410924050624,8.1,20.729999542236328,91838.16842600393,4430,91833.89797210693,0.09461145242268491,9.46,BUY
HFCL,93.92,5.0,15.04,HIGH,100,2,105.12,0.0875671623141322,8.76,HFCL.NS,14704.947311513746,0.0843908311837177,8.44,Technology,Communication Equipment,0.480299850817551,1.0,0.8594285714285714,0.7741397522964983,0.788943478112129,0.0899758514795493,9.0,196.99000549316406,82703.01456004335,419,82538.81230163574,0.0850352330189994,8.5,BUY
DEEPINDS,92.3,7.0,11.0,HIGH,100,13,97.0,0.0808030321962597,8.08,DEEPINDS.NS,14474.158464395028,0.0830663475100475,8.31,Energy,Oil & Gas E&P,0.4910199109317996,1.0,0.6285714285714286,0.791418176737651,0.6931449360810412,0.0790504105210001,7.91,526.5499877929688,81405.02055984655,154,81088.69812011719,0.08354125953075789,8.35,BUY
SIGMAADV,91.78,5.0,15.32,HIGH,100,19,105.96,0.0882668999125328,8.83,SIGMAADV.NS,13006.570759732049,0.0746439476463948,7.46,Industrials,Aerospace & Defense,0.5405227965057282,1.0,0.8754285714285714,0.8712061498359817,0.7759301986042323,0.0884917389458273,8.85,458.70001220703125,73151.0686934669,159,72933.30194091797,0.07513920000116227,7.51,BUY
IOLCP,92.11,5.0,12.19,HIGH,100,15,96.57,0.0804448331875546,8.04,IOLCP.NS,12019.382964017212,0.0689785347176748,6.9,Healthcare,Drug Manufacturers - Specialty & Generic,0.4670875798539003,1.0,0.6965714285714285,0.7528444215699434,0.7280596871145827,0.0830322983755732,8.3,136.2899932861328,67598.9640233213,495,67463.54667663574,0.06950400971328458,6.95,BUY
ADANIPOWER,91.62,5.0,11.33,HIGH,100,20,93.99,0.0782956391353242,7.83,ADANIPOWER.NS,11893.989208350136,0.0682589072996488,6.83,Utilities,Utilities - Independent Power Producers,0.4363778131189313,1.0,0.6474285714285715,0.7033469021082458,0.7183020481497794,0.0819194786379805,8.19,231.6699981689453,66893.72915365582,288,66720.95947265625,0.06873896265037606,6.87,BUY
SOUTHWEST,92.21,5.0,10.76,HIGH,100,14,92.28,0.0768711733100087,7.69,SOUTHWEST.NS,8895.992366207656,0.0510535790495797,5.11,Energy,Oil & Gas Equipment & Services,0.5576553796116644,1.0,0.6148571428571429,0.8988201780711618,0.6661788215286248,0.0759750328985693,7.6,264.8500061035156,50032.50746858811,188,49791.80114746094,0.0512977748884583,5.13,BUY
ANTELOPUS,91.89,5.0,11.92,HIGH,100,17,95.76,0.0797700862176683,7.98,ANTELOPUS.NS,8827.168741275775,0.050658604297883,5.07,Energy,Oil & Gas E&P,0.6204304189169121,1.0,0.6811428571428572,1.0,0.6724571428571429,0.0766910503612491,7.67,915.3499755859375,49645.43221192534,54,49428.898681640625,0.05092389628657795,5.09,BUY
