ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK
1,ATGL,Utilities,Utilities - Regulated Gas,894365532160,0.165,0,0,0,0,0,0,11.61,1.0
2,ADANIGREEN,Utilities,Utilities - Renewable,2454621782016,0.165,0,0,0,0,0,0,11.61,1.0
3,ADANIPOWER,Utilities,Utilities - Independent Power Producers,4810181443584,0.165,0,0,0,0,0,0,11.61,1.0
4,IRMENERGY,Utilities,Utilities - Regulated Gas,11045052416,0.165,0,0,0,0,0,0,11.61,1.0
5,JPPOWER,Utilities,Utilities - Independent Power Producers,157286891520,0.165,0,0,0,0,0,0,11.61,1.0
6,ENRIN,Utilities,Utilities - Renewable,1353970221056,0.165,0,0,0,0,0,0,11.61,1.0
7,ADANIENSOL,Utilities,Utilities - Independent Power Producers,1857183023104,0.165,0,0,0,0,0,0,11.61,1.0
8,NLCINDIA,Utilities,Utilities - Regulated Electric,484629512192,0.165,0,0,0,0,0,0,11.61,1.0
9,JSWENERGY,Utilities,Utilities - Independent Power Producers,1108368687104,0.165,0,0,0,0,0,0,11.61,1.0
10,GUJGASLTD,Utilities,Utilities - Regulated Gas,254704353280,0.165,0,0,0,0,0,0,11.61,1.0
11,CESC,Utilities,Utilities - Regulated Electric,246980296704,0.165,0,0,0,0,0,0,11.61,1.0
12,GVKPIL,Utilities,Utilities - Independent Power Producers,4848175616,0.165,0,0,0,0,0,0,11.61,1.0
13,GREENPOWER,Utilities,Utilities - Independent Power Producers,13489864704,0.165,0,0,0,0,0,0,11.61,1.0
14,PTC,Utilities,Utilities - Independent Power Producers,56137977856,0.165,0,0,0,0,0,0,11.61,1.0
15,GIPCL,Utilities,Utilities - Regulated Electric,24562921472,0.165,0,0,0,0,0,0,11.61,1.0
16,BAJEL,Utilities,Utilities - Regulated Electric,21187579904,0.165,0,0,0,0,0,0,11.61,1.0
17,GAIL,Utilities,Utilities - Regulated Gas,1111188439040,0.165,0,0,0,0,0,0,11.61,1.0
18,KARMAENG,Utilities,Utilities - Renewable,534877312,0.165,0,0,0,0,0,0,11.61,1.0
19,INDOWIND,Utilities,Utilities - Renewable,1569771264,0.165,0,0,0,0,0,0,11.61,1.0
20,INOXGREEN,Utilities,Utilities - Renewable,69622734848,0.165,0,0,0,0,0,0,11.61,1.0
21,ACMESOLAR,Utilities,Utilities - Renewable,185249005568,0.165,0,0,0,0,0,0,11.61,1.0
22,GKENERGY,Utilities,Utilities - Renewable,25149341696,0.165,0,0,0,0,0,0,11.61,1.0
23,RPOWER,Utilities,Utilities - Independent Power Producers,114602205184,0.165,0,0,0,0,0,0,11.61,1.0
24,ENERGYDEV,Utilities,Utilities - Regulated Electric,808925056,0.165,0,0,0,0,0,0,11.61,1.0
25,KPIGREEN,Utilities,Utilities - Renewable,86277521408,0.165,0,0,0,0,0,0,11.61,1.0
26,SJVN,Utilities,Utilities - Renewable,297878487040,0.165,0,0,0,0,0,0,11.61,1.0
27,TATAPOWER,Utilities,Utilities - Independent Power Producers,1367285825536,0.165,0,0,0,0,0,0,11.61,1.0
28,NHPC,Utilities,Utilities - Renewable,813245988864,0.165,0,0,0,0,0,0,11.61,1.0
29,NTPC,Utilities,Utilities - Regulated Electric,3857818845184,0.165,0,0,0,0,0,0,11.61,1.0
30,MGL,Utilities,Utilities - Regulated Gas,108823470080,0.165,0,0,0,0,0,0,11.61,1.0
31,WAAREERTL,Utilities,Utilities - Renewable,103719714816,0.165,0,0,0,0,0,0,11.61,1.0
32,IGL,Utilities,Utilities - Regulated Gas,230034243584,0.165,0,0,0,0,0,0,11.61,1.0
33,SURANAT&P,Utilities,Utilities - Independent Power Producers,2492553216,0.165,0,0,0,0,0,0,11.61,1.0
34,NTPCGREEN,Utilities,Utilities - Renewable,880130129920,0.165,0,0,0,0,0,0,11.61,1.0
35,POWERGRID,Utilities,Utilities - Regulated Electric,2795296260096,0.165,0,0,0,0,0,0,11.61,1.0
36,TORNTPOWER,Utilities,Utilities - Independent Power Producers,727485513728,0.165,0,0,0,0,0,0,11.61,1.0
37,DPSCLTD,Utilities,Utilities - Regulated Electric,8277211648,0.165,0,0,0,0,0,0,11.61,1.0
38,CEWATER,Utilities,Utilities - Regulated Water,5834267648,0.165,0,0,0,0,0,0,11.61,1.0
39,IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,38452105216,0.1392,0,0,0,0,0,0,10.89,2.0
40,SPARC,Healthcare,Drug Manufacturers - Specialty & Generic,72254734336,0.1392,0,0,0,0,0,0,10.89,2.0
41,GUJTHEM,Healthcare,Drug Manufacturers - Specialty & Generic,46284959744,0.1392,0,0,0,0,0,0,10.89,2.0
42,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,41998225408,0.1392,0,0,0,0,0,0,10.89,2.0
43,MARKSANS,Healthcare,Drug Manufacturers - General,112656506880,0.1392,0,0,0,0,0,0,10.89,2.0
44,ZIMLAB,Healthcare,Drug Manufacturers - Specialty & Generic,5494131200,0.1392,0,0,0,0,0,0,10.89,2.0
45,SUVEN,Healthcare,Drug Manufacturers - Specialty & Generic,70624370688,0.1392,0,0,0,0,0,0,10.89,2.0
46,ORCHPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,38800113664,0.1392,0,0,0,0,0,0,10.89,2.0
47,THEMISMED,Healthcare,Drug Manufacturers - Specialty & Generic,10495848448,0.1392,0,0,0,0,0,0,10.89,2.0
48,PARKHOSPS,Healthcare,Medical Care Facilities,123964162048,0.1392,0,0,0,0,0,0,10.89,2.0
49,HESTERBIO,Healthcare,Drug Manufacturers - Specialty & Generic,16843592704,0.1392,0,0,0,0,0,0,10.89,2.0
50,VALIANTLAB,Healthcare,Drug Manufacturers - Specialty & Generic,4344999936,0.1392,0,0,0,0,0,0,10.89,2.0
51,GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,380587311104,0.1392,0,0,0,0,0,0,10.89,2.0
52,SENORES,Healthcare,Drug Manufacturers - General,51490217984,0.1392,0,0,0,0,0,0,10.89,2.0
53,LINCOLN,Healthcare,Drug Manufacturers - Specialty & Generic,15222593536,0.1392,0,0,0,0,0,0,10.89,2.0
54,WOCKPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,289252311040,0.1392,0,0,0,0,0,0,10.89,2.0
