Symbol,MULTI_FACTOR_SCORE,ENTRY_SCORE,EXPECTED_RETURN_30D,CONVICTION,CONVICTION_SCORE,CONVICTION_RANK
SIGMAADV,82.74,7.0,15.17,HIGH,89.1,1
KSHITIJPOL,82.28,7.0,13.01,HIGH,85.21,2
STLTECH,83.85,5.0,17.5,HIGH,84.97,3
CONFIPET,84.22,7.0,12.41,HIGH,84.96,4
IBULLSLTD,81.32,7.0,12.26,HIGH,83.55,5
CPPLUS,82.33,7.0,12.0,HIGH,83.5,6
E2E,82.8,7.0,11.87,HIGH,83.47,7
PRIZOR,79.72,7.0,11.99,HIGH,82.44,8
RUBICON,82.42,7.0,11.28,HIGH,82.31,9
WOCKPHARMA,81.29,7.0,11.03,HIGH,81.42,10
BIRLACABLE,81.48,7.0,10.75,HIGH,81.02,11
AIMTRON,81.08,7.0,10.7,HIGH,80.77,12
WINSOME,79.48,7.0,11.04,HIGH,80.72,13
GOCLCORP,80.31,7.0,10.69,HIGH,80.45,14
UNIVCABLES,78.24,7.0,11.13,HIGH,80.38,15
HFCL,83.82,5.0,14.8,HIGH,80.33,16
EFFWA,79.49,7.0,10.4,MEDIUM,79.62,17
ARROWGREEN,80.61,7.0,10.04,MEDIUM,79.46,18
MODISONLTD,82.69,5.0,14.5,MEDIUM,79.36,19
MAHESHWARI,79.6,7.0,10.14,MEDIUM,79.22,20
COFFEEDAY,77.61,7.0,10.56,MEDIUM,79.15,21
SIS,78.39,7.0,10.24,MEDIUM,78.91,22
GULFPETRO,78.89,7.0,9.99,MEDIUM,78.68,23
STALLION,78.59,7.0,10.05,MEDIUM,78.66,24
RRKABEL,77.07,7.0,10.36,MEDIUM,78.59,25
KONSTELEC,78.01,7.0,9.98,MEDIUM,78.31,26
UNIDT,77.05,7.0,10.14,MEDIUM,78.2,27
TRUALT,77.95,7.0,9.83,MEDIUM,78.03,28
MAFANG,76.56,7.0,10.09,MEDIUM,77.92,29
